"id","order_id","date","review","rating"
"31c8d5ab-a49e-4d92-b178-bfdd4811baf4","h3ej-j1do","2023-12-20 01:50:01.442000 UTC","Missing two husbrown, salt and pepper, jam from order today","1.0"
"c28fec4c-5ef5-4aef-adae-18d9361b71a4","h3ej-5hjr","2023-12-20 14:05:48.928000 UTC","this not my first order from north point mcd all of time my order have wrong from my order from Foodpanda / grabfood also wrong. other mcd outlet ok only northpoint ????????????and disappointed ??????","1.0"
"bcbd2c42-afd2-4f0e-abcb-f9b708735402","h3ej-7ia1","2023-07-03 05:33:23.342000 UTC","Ordered at 10pm but food arrived at 11.15pm. No msg abt delay till 1hr later. Fries were undercooked. 1 drink not sealed properly & spilled entirely into the plastic bag. So not rider's fault.","3.0"
"6639b1c8-1b48-4bef-9250-c12b100f9e45","h3ej-9dz6","2023-06-20 14:43:52.249000 UTC","Fries soggy. Usinging plastic bag will make the fries soggy. Please take note. ","1.0"
"c9b4fa73-87a6-4a23-8b26-b62ef63c2363","h3ej-mcnb","2023-06-20 14:47:21.135000 UTC","food came late.. that part I'm okay... but my fries were soggy already ","2.0"
"5beafa25-fbf3-47b7-8016-cd4fe36815de","h3ej-1dob","2023-08-24 02:13:46.338000 UTC","order big breakfast and item arrived with no butter,maple syrup n jams...","2.0"
"8bab28fc-c737-4f46-bc9a-bafb0a34ed50","h3ej-r7ai","2023-06-28 15:05:41.888000 UTC","Very very late 1hour 20mins. Food cold. Twice today for being late","1.0"
"8bab28fc-c737-4f46-bc9a-bafb0a34ed50","h3ej-r7ai","2023-06-28 15:05:41.888000 UTC","Very very late 1hour 20mins. Food cold. Twice today for being late","1.0"
"4127113f-4ed4-40cf-9ac7-0ebeadfc5d95","h3ej-a0h0","2023-11-06 09:08:00.248000 UTC","ok","3.0"
"493baca2-b0ae-473f-be90-a36a798be0d6","h3ej-ei01","2023-07-17 01:55:39.646000 UTC","food still hot. delivered quickly ","5.0"
"036799db-5711-4171-a397-a47c1b2d60b9","h3ej-acyc","2023-07-17 20:42:36.186000 UTC","item missing in my order. and you guy are irresponsible ","1.0"
"183dfd8c-dc78-4c7c-b6a0-9db9c4f7405a","h3ej-t7zc","2022-11-03 15:03:02.801000 UTC","Food was cold","1.0"
"56c1e837-e94e-4949-8f3a-c6b6b7ac88cb","h3ej-qr6i","2023-11-04 17:01:03.928000 UTC","Super soggy & cold fries!!! Not even salted","1.0"
"6aabc5ea-e9f9-4a52-a745-a261267380d0","h3ej-mj5v","2023-10-13 15:22:04.876000 UTC","Wrong order","1.0"
"a7acf57c-fc47-4f89-b67c-ace57389eccf","h3ej-pptl","2022-09-25 09:16:09.095000 UTC","Food and drinks spilled drop on floor","1.0"
"8b6e32fa-e4d0-4469-866f-6f56d47dc0a1","h3ej-nyt2","2023-11-13 09:22:26.424000 UTC","Good service..all item complete..nice food","5.0"
"bc48e296-1961-4748-a709-2b1485d933f4","h3ej-vy8g","2023-04-02 09:40:58.544000 UTC","Some items in my order where missing and no refund also","1.0"
"bef94e3e-89ef-48d8-b52e-3ef5a9592e79","h3ej-d3p6","2023-04-02 13:08:04.625000 UTC","food was late, cold and incomplete. even if food panda refunded, I experienced hunger, cos my food didn't arrive. my children's iftar was ruined. can better manage your restaurant. ","1.0"
"542d33ca-15eb-44e4-8ee6-4b0c6cd79cd8","h3ej-odfa","2023-04-02 12:11:33.284000 UTC","delayed at macdonalds restaurant for 1hr...","5.0"
"98a2dd41-35c2-4887-9892-60146cff488c","h3ej-fg16","2023-04-02 12:13:33.875000 UTC","delayed for 1hr at restaurant...","2.0"
"f7fde989-4e07-41a5-b572-9b9a2363fcf8","h3ej-fegs","2023-10-23 08:54:49.019000 UTC","Cold","2.0"
"96db13f3-4bbb-4c3a-9968-57f369638f49","h3ej-2nqh","2023-10-23 09:10:00.022000 UTC","Almost 3 hours takes to deliver food, due to which my some collegue left out without food. Very bad experience of ordering food specially for big number. As per drivers food not ready at restaurant :(","1.0"
"566aae91-4740-4927-a7f3-68643f10b919","h3ej-lydf","2022-03-27 18:38:10.814000 UTC","order not complete ","3.0"
"30441ea6-e7a8-401f-99fe-a7d17543d75e","h3ej-9qe5","2022-03-27 16:10:52.042000 UTC","drinks all were spilled... orders are meant for the birthday family member..but upon arrival all the drinks were spilled in front of my unit... but because i forget to ask my sister to snap a pic","1.0"
"8aeba6b7-5c71-4d4a-9c0a-11117eb6fd98","h3ej-gpiy","2022-03-27 03:00:24.572000 UTC","order was ridiculously incomplete","1.0"
"2fd83cf6-b2a9-45cf-92de-d5a596ecd7f8","h3ej-vo7k","2023-09-10 05:36:42.134000 UTC","Food arrived cold. So upset..","1.0"
"49acae52-b74a-49cb-86d6-9bc14d76113c","h3ej-gu3g","2023-10-31 09:02:55.000000 UTC","I VERY SERVICE LIKE IT SO MUCH THIS FOODPANDA RIDERS IS MY BEST FRIENDS NAMES IS TEO XIAO WEI THE SERVICE IS VERY GOOD I WILL GIVE HE A FIVE STAR FOR GOOD DELIVERY AND GOOD SERVICE ALSO I LIKE IT LA","5.0"
"1fe58343-26e5-46ec-ba2d-9cd2dfc40096","h3ej-kwnq","2023-10-31 09:03:09.786000 UTC","Good, this rider never put my food ok the floor. thank you!","5.0"
